article_number,article_raw
35,Artículo 35. Derechos de los ciudadanos.
36,Artículo 36. Obligaciones de los ciudadanos.
37,Artículo 37. Perdida de la nacionalidad por naturalización.
38,Artículo 38. Referente a los supuestos en los que se suspenden los derechos o prerrogativas de los ciudadanos mexicanos.
39,Artículo 39. La soberanía nacional reside esencial y originariamente en el pueblo.
40,"Artículo 40. Es voluntad del pueblo mexicano constituirse en una República representativa, Democrática, laica y federal, compuesta por Estados libres y soberanos en todo lo concerniente a su régimen interior, y por la Ciudad de México, unidos en una federación."
41,"Artículo 41. El pueblo ejerce su soberanía por medio de los Poderes de la Unión, en los casos de la competencia de estos, y por los de los Estados y la Ciudad de México. La renovación de los poderes Legislativo y Ejecutivo."
42,Artículo 42. El territorio nacional comprende.
43,Artículo 43. Las partes integrantes de la Federación son los Estados.
44,Artículo 44. La Ciudad de México es la entidad federativa sede de los Poderes de la Unión y Capital de los Estados Unidos Mexicanos.
45,Artículo 45. Los Estados de la Federación conservan la extensión y límites.
46,Artículo 46. Las entidades federativas.
47,Artículo 47. El Estado de Nayarit.
48,"Artículo 48. Las islas, los cayos y arrecifes de los mares adyacentes."
49,"Artículo 49. El Supremo Poder de la Federación se divide para su ejercicio en Legislativo, Ejecutivo y Judicial."
50,"Artículo 50. El poder legislativo de los Estados Unidos Mexicanos se deposita en un congreso general, que se dividirá en dos cámaras, una de diputados y otra de senadores."
52,"Artículo 52. La Cámara de Diputados estará integrada por 300 diputados electos por mayoritaria relativa y 200 diputados electos por representación proporcional. Cada año, para celebrar un primer período de sesiones ordinarias y a partir del 1 de febrero de cada año para celebrar un segundo período de sesiones ordinarias."
70,Artículo 70. Toda resolución del Congreso tendrá el carácter de ley o decreto.
71,Artículo 71. El derecho de iniciar leyes o decretos compete: al presidente de la República; a los diputados y senadores al Congreso de la Unión; y a las Legislaturas de los Estados.
73,Artículo 73. Establece las facultades del congreso.
78,"Artículo 78. Durante los recesos del Congreso de la Unión habrá una Comisión Permanente compuesta de 37 miembros de los que 19 serán diputados y 18 senadores, nombrados por sus respectivas cámaras la víspera de la clausura de los períodos ordinarios de sesiones."
79,Artículo 79. Referente a la entidad de fiscalización superior de la Federación.
80,"Artículo 80. Se deposita el ejercicio del Supremo Poder Ejecutivo de la Unión en un solo individuo, que se denominará ""presidente de los Estados Unidos Mexicanos."""
83,"Artículo 83. El presidente entrará a ejercer su encargo el 1 de octubre, durará en él seis años y no ser reelegido."
87,"Artículo 87. El juramento del presidente: ""Protesto guardar y hacer guardar la Constitución Política de los Estados Unidos Mexicanos y las leyes que de ella emanen, y desempeñar leal y patrióticamente el cargo de presidente de la república que el pueblo me ha conferido, mirando en todo por el bien y prosperidad de la Unión; y si así no lo hiciere que la nación me lo demande."""
89,Artículo 89. Facultades y obligaciones del presidente.
94,"Artículo 94. Se deposita el ejercicio del Poder Judicial de la Federación en una Suprema Corte de Justicia, en un tribunal electoral, en tribunales colegiados y unitarios de circuito y en juzgados de distrito."
96,Artículo 96. Lineamientos para nombrar a los Ministros de la Suprema Corte de Justicia de la Nación.
108,Artículo 108. Establece quiénes son considerados funcionarios públicos.
109,Artículo 109. El Congreso de la Unión y las Legislaturas de los Estados expedirán las leyes de responsabilidades y sanciones de los servidores públicos.
115,"Artículo 115. Los estados adoptarán, para su régimen interior, la forma de gobierno republicano, representativo, popular, teniendo como base de su división territorial y de su organización política y administrativa el Municipio Libre. Establece los lineamientos de gobierno obligaciones de los municipios."
116,"Artículo 116. El poder público de los estados se dividirá, para su ejercicio, en Ejecutivo, Legislativo y Judicial. Establece las reglas de gobierno de los poderes estatales."
122,Artículo 122. Define el ordenamiento la naturaleza jurídica del Distrito Federal.
123,"Artículo 123. Toda persona tiene derecho al trabajo digno y socialmente útil; al efecto, se promoverán la creación de empleos y la organización social de trabajo, conforme a la ley. Este artículo comprende todo lo referente a lo lab"
124,Artículo 124. Las facultades que no están expresamente concedidas por esta Constitución a los funcionarios federales se reservan a los Estados.
128,"Artículo 128. Todo funcionario público, sin excepción alguna, antes de tomar posesión de su encargo, prestará la protesta de guardar la Constitución y las leyes que de ella emanen."
130,Artículo 130. Establece las normas y reglamentaciones de las iglesias y demás agrupaciones religiosas.
133,"Artículo 133. Las leyes supremas de toda la Unión son las leyes de esta constitución y todos los tratados que estén de acuerdo con la misma. En caso de que las constituciones estatales contradigan alguna de estas leyes, los jueces en los estados aplicarán las leyes de esta Constitución."
134,"Artículo 134. Trata de los recursos económicos para la federación, los estados, los municipios, el Distrito Federal."
135,Artículo 135. La presente Constitución puede ser adicionada o reformada por la ley. Establece los requisitos para realizar las reformas.
136,"Artículo 136. Esta Constitución no perderá su fuerza y vigor, aun cuando por alguna rebelión se interrumpa su observancia."
